1000 3 3
2.40206 0.396877 1.42824 0
2.15072 1.10437 3.13837 0
3.3228 1.6991 1.90967 0
2.97796 3.20624 2.42433 0
3.23452 3.93795 2.86621 0
2.7474 1.88425 0.64287 0
1.1213 2.04091 1.10363 0
3.52607 1.68211 2.55131 0
2.19805 3.46026 0.485796 0
1.9648 3.34999 1.88175 0
2.85054 3.35861 1.71798 0
2.64925 2.7087 2.51689 0
3.38868 2.1135 1.15449 0
2.04079 2.78328 1.16237 0
1.93134 -0.204018 1.07143 0
1.03133 3.66617 2.14884 0
2.50755 2.45299 2.74745 0
2.87942 1.34952 3.17361 0
0.536253 1.43835 1.61595 0
3.58907 1.55866 2.65861 0
3.22223 2.09356 0.878935 0
3.6985 3.56939 3.00254 0
0.898092 3.04641 2.86255 0
2.76386 3.40151 3.54667 0
2.37469 0.781105 1.72736 0
1.44815 2.44957 1.1993 0
-0.54276 2.29202 2.68584 0
1.36563 4.03981 2.14941 0
2.07103 2.94466 2.2596 0
2.80893 1.12565 1.73247 0
1.93328 2.52272 2.59037 0
1.57652 4.43459 2.37676 0
1.45246 2.11931 0.136887 0
3.86967 0.460814 1.20488 0
1.81806 3.00705 1.23327 0
1.68658 0.81444 0.789556 0
1.61319 0.104514 2.98488 0
3.45431 3.83055 1.74942 0
-0.335383 2.49573 1.52053 0
2.60638 0.975726 2.25694 0
1.40362 0.721727 1.70949 0
3.08785 1.6695 1.60482 0
1.32379 2.06326 -0.291007 0
1.26249 3.27832 3.57756 0
2.69672 3.02621 1.04056 0
1.88175 2.12064 0.749891 0
1.50432 1.68467 2.25109 0
2.53004 2.75136 3.55651 0
0.357738 1.97949 2.83559 0
2.64746 0.313564 3.96976 0
2.85326 4.09864 0.402843 0
2.25421 2.02329 1.44269 0
1.58244 1.0176 1.78498 0
1.69301 1.28102 2.00559 0
2.36709 2.38309 3.54347 0
3.06666 1.85387 2.68567 0
2.47877 0.753542 3.30199 0
2.55425 2.30385 1.25375 0
4.05707 1.70701 1.17117 0
1.3987 1.89885 2.70329 0
1.41666 3.52621 2.92108 0
3.92368 1.42956 2.1663 0
1.37988 2.13406 1.3171 0
2.42449 3.87361 2.84044 0
2.8312 1.06933 1.19128 0
2.1722 3.10494 -0.233759 0
1.63371 0.987917 1.00147 0
1.70302 2.69516 3.3667 0
2.31901 2.19061 1.33348 0
1.52012 3.01953 3.20757 0
1.13796 2.69646 3.16552 0
2.08236 1.00761 0.658579 0
1.69135 1.02422 3.02251 0
1.97822 3.34866 2.39371 0
0.432018 2.74234 0.0798622 0
2.54174 1.28934 2.44427 0
2.45025 2.17989 -0.0612897 0
0.892281 2.1056 2.18197 0
0.869374 1.64348 1.32887 0
2.66967 2.76826 0.269625 0
-1.37679 0.316715 0.749506 0
2.63967 1.81126 3.12365 0
0.0946233 2.37678 2.87322 0
2.27894 2.70536 3.81548 0
2.24061 2.51564 2.71867 0
1.38669 3.18664 -0.236539 0
3.31603 2.56497 2.37493 0
3.15805 2.3347 2.04179 0
2.87163 1.89049 3.61489 0
0.394153 3.18323 2.22507 0
0.707119 2.67096 1.36335 0
0.532435 1.5212 1.7366 0
1.68994 3.05114 1.92585 0
2.71753 2.54876 0.777844 0
1.91015 1.76952 2.83748 0
2.32034 1.51729 3.12796 0
1.68086 2.02098 1.14014 0
1.22967 2.77936 4.06922 0
2.51858 0.173841 4.99971 0
2.34099 1.4237 3.35007 0
0.475958 0.556704 3.60926 0
3.01273 1.00211 1.4163 0
0.684482 1.35475 1.6233 0
1.0507 2.37058 0.881312 0
1.5878 2.20749 0.43334 0
2.1196 0.525769 3.00131 0
0.473526 0.784572 0.840446 0
3.41885 3.32857 1.36981 0
2.23624 0.319627 2.17172 0
1.4191 1.54812 2.9766 0
0.781441 2.56622 2.50755 0
2.03393 2.29788 3.20614 0
1.81769 1.98945 1.78587 0
2.50746 1.44166 2.7973 0
1.57115 3.94876 1.46991 0
1.72003 3.36586 1.09915 0
0.739757 3.06263 3.57364 0
1.16169 1.85907 0.962855 0
2.07878 3.35817 1.96951 0
3.66225 2.81988 1.86923 0
1.52013 1.65772 1.89941 0
2.56644 1.37069 4.33064 0
1.26153 1.44631 1.53689 0
1.96392 1.50886 1.24701 0
2.96214 1.97387 2.30511 0
1.46878 2.80164 0.524586 0
1.33468 2.74717 0.768345 0
-0.506265 2.37453 -0.386355 0
3.37992 1.93518 2.64203 0
1.0797 0.902316 2.71659 0
2.27909 1.92715 1.79976 0
0.950559 1.75779 1.4713 0
1.5774 2.28048 2.35806 0
1.12994 2.4521 2.93564 0
1.69437 1.45016 2.48684 0
0.72052 4.48094 1.24851 0
0.846944 1.30123 2.15819 0
1.77713 1.70011 2.82608 0
2.34335 -0.107253 3.78125 0
1.90021 1.93394 1.73088 0
0.0808216 2.21209 2.05481 0
1.45271 1.53156 2.749 0
3.10008 2.26858 2.10104 0
2.98688 1.55186 1.2274 0
2.0479 3.40723 2.67411 0
1.60631 0.778599 1.62873 0
2.26288 3.04263 2.23192 0
1.67364 2.85641 1.04497 0
1.52977 1.15686 0.933926 0
2.69048 2.77344 1.10058 0
2.15367 3.10521 0.701696 0
4.22006 1.42152 2.00671 0
3.21978 2.24848 0.701473 0
1.89352 2.38763 1.32288 0
2.10527 2.55236 4.67508 0
2.304 3.19813 0.637228 0
0.414765 0.630291 3.21653 0
2.96285 2.10351 0.940154 0
1.82724 2.40306 2.90729 0
0.679121 -0.0022105 1.35632 0
2.43973 2.04714 2.25246 0
3.19844 1.33642 3.33691 0
3.47393 3.08698 3.08378 0
3.20462 2.23866 1.33064 0
3.60523 2.04744 2.30471 0
0.596176 1.33893 3.55081 0
1.2767 1.30163 2.14033 0
0.0594655 -0.462576 2.36194 0
1.09597 2.35047 3.73727 0
2.67563 2.25413 1.69384 0
0.384065 4.21734 3.44981 0
1.9059 1.40282 2.20636 0
1.61424 1.27133 -1.10649 0
1.70178 1.44647 1.6004 0
3.11439 1.28467 1.55518 0
3.35973 2.78664 1.82391 0
1.36557 2.6174 1.56425 0
0.559999 2.39954 2.03315 0
2.56055 3.30194 1.49206 0
2.45448 2.77539 2.96245 0
2.02518 0.837188 2.26624 0
2.78158 2.0801 1.68683 0
3.37956 1.32781 1.7311 0
2.53607 2.21935 0.537026 0
2.44334 1.00598 2.24862 0
2.1183 2.62184 3.4185 0
4.0916 2.98713 2.88947 0
0.092804 2.82856 1.72331 0
0.0297736 1.78639 4.13605 0
0.359908 1.69859 2.218 0
1.90351 1.06703 -0.382371 0
3.45994 2.51915 2.78418 0
3.49169 1.4157 1.3954 0
1.2593 1.02898 2.22856 0
4.36083 1.87498 2.65592 0
1.63546 1.08677 1.87795 0
2.03928 3.37043 2.79898 0
1.68049 2.47857 2.76357 0
2.08189 2.67996 1.27771 0
1.61454 -0.0387289 0.952753 0
0.523852 0.790565 2.80849 0
2.77332 0.189361 1.46726 0
2.0439 1.95024 2.38342 0
1.08333 0.252622 1.75205 0
2.55137 2.05173 4.22924 0
2.95859 2.08573 1.47752 0
1.58008 1.14137 1.55067 0
1.11242 3.17316 2.04805 0
2.06528 2.38188 2.62722 0
3.00268 3.11325 2.93569 0
0.513828 3.46452 1.9126 0
0.444873 2.14231 1.64992 0
1.33066 2.70651 1.67653 0
1.07361 2.66393 2.72184 0
1.09762 0.440993 3.16721 0
0.453098 0.793071 2.08365 0
2.19508 1.85014 2.27528 0
1.92357 2.68612 2.03393 0
1.28028 2.33986 1.28154 0
1.25118 2.77084 1.0441 0
1.06194 2.38331 2.16382 0
1.25284 1.65089 1.10705 0
1.50935 1.55465 0.792498 0
0.582255 1.36025 2.61357 0
2.62823 2.32876 3.4578 0
3.2852 2.05993 2.05912 0
2.43188 3.45438 1.2833 0
0.263394 1.37979 2.29251 0
3.38348 3.10678 0.906802 0
2.10452 1.63589 1.0915 0
3.30125 0.590526 3.34936 0
2.61203 3.01042 2.62832 0
1.53326 1.13826 0.901877 0
2.79431 1.61058 2.90145 0
3.5728 1.80373 1.46053 0
2.90864 1.81485 2.61001 0
3.08639 1.95442 0.250124 0
3.53263 3.16888 0.289185 0
0.864993 5.09943 3.12376 0
0.616357 2.36987 1.20118 0
2.40005 1.09652 2.62853 0
0.474284 1.97185 1.15193 0
2.2978 -0.330712 1.72142 0
0.208178 2.14426 1.50121 0
0.267595 0.815117 1.2094 0
3.46894 3.2337 1.43919 0
1.66983 0.725555 -0.312411 0
3.30792 1.62956 0.697853 0
1.69329 3.98153 2.10328 0
1.28138 0.696109 2.71529 0
1.85741 2.71737 3.90026 0
2.15688 1.24979 2.56686 0
1.17315 1.65467 2.92126 0
2.24998 2.62464 0.887073 0
2.44663 2.64939 2.29158 0
1.50137 1.90037 3.17611 0
1.81069 1.60867 2.96769 0
1.40443 2.87143 0.986821 0
1.90813 1.18593 1.67553 0
1.41006 1.18521 2.00389 0
2.31517 0.31985 2.15228 0
1.71494 3.4811 3.63159 0
1.23537 0.98906 1.09733 0
0.711601 3.35849 3.37241 0
1.0214 3.64785 3.66445 0
1.33337 1.65442 0.616685 0
1.78568 1.66101 1.84346 0
3.3425 0.245852 0.984101 0
1.11281 2.78644 1.26583 0
3.33842 2.53456 2.44083 0
3.34088 2.80744 2.47432 0
3.60693 3.77069 0.512141 0
1.27943 -0.25723 3.41626 0
1.93516 2.27253 3.34264 0
2.02576 1.98399 0.1541 0
2.41909 2.98017 1.97947 0
1.17859 1.78442 3.52295 0
0.57656 2.19636 1.68693 0
3.07996 1.17638 3.25595 0
3.39362 0.561743 2.77474 0
5.45861 0.473286 1.62578 0
2.33183 2.87101 1.24356 0
0.137995 1.58692 2.24998 0
2.81144 1.38555 1.42875 0
3.07393 2.3564 2.82406 0
3.46168 0.434621 2.79401 0
2.05104 0.679902 1.37804 0
1.39926 3.2481 2.35597 0
1.18593 1.11861 1.66166 0
2.44139 0.731147 1.33762 0
-0.0955715 0.970361 3.88814 0
1.81768 1.83752 0.598657 0
2.02702 1.89235 3.03007 0
